user_id,skill_offered,skill_requested,experience_level,category,rating,interaction
U595,Figma,Node.js,Beginner,Design,4,view
U140,Python,Spring Boot,Intermediate,Programming,3,request
U138,Spring Boot,Node.js,Advanced,Programming,3,request
U736,Node.js,Spring Boot,Advanced,Programming,4,request
U602,Spring Boot,React,Beginner,Programming,4,view
U953,Spring Boot,UI/UX Design,Intermediate,Programming,3,view
U756,UI/UX Design,SQL,Advanced,Design,5,view
U219,Data Visualization,Data Analysis,Beginner,Analytics,3,request
U295,Data Visualization,Power BI,Beginner,Analytics,4,completed
U805,Machine Learning,Power BI,Intermediate,AI,3,view
U114,Power BI,Data Analysis,Intermediate,Analytics,3,request
U632,Figma,Java,Advanced,Design,4,completed
U424,Java,Figma,Beginner,Programming,5,view
U331,Python,Figma,Beginner,Programming,3,completed
U765,SQL,UI/UX Design,Advanced,Database,3,completed
U930,Excel,Java,Beginner,Analytics,3,view
U915,Data Visualization,Node.js,Intermediate,Analytics,4,view
U594,Node.js,JavaScript,Intermediate,Programming,3,view
U579,Java,Data Analysis,Beginner,Programming,4,view
U853,Machine Learning,Power BI,Advanced,AI,3,view
U655,Node.js,Deep Learning,Advanced,Programming,3,completed
U199,Deep Learning,Node.js,Advanced,AI,5,view
U765,Power BI,Figma,Beginner,Analytics,3,completed
U912,Node.js,Power BI,Beginner,Programming,4,request
U579,React,Power BI,Beginner,Programming,4,view
U583,Python,Figma,Advanced,Programming,4,request
U278,Deep Learning,Figma,Advanced,AI,5,request
U404,Data Visualization,Power BI,Intermediate,Analytics,4,request
U124,Deep Learning,UI/UX Design,Intermediate,AI,3,request
U39,Node.js,Java,Intermediate,Programming,3,completed
U870,Python,Spring Boot,Beginner,Programming,5,completed
U855,SQL,Node.js,Intermediate,Database,5,completed
U161,Java,Data Visualization,Beginner,Programming,5,view
U855,UI/UX Design,Deep Learning,Intermediate,Design,5,view
U502,UI/UX Design,SQL,Beginner,Design,4,completed
U388,Spring Boot,JavaScript,Intermediate,Programming,4,completed
U809,Python,React,Beginner,Programming,4,completed
U989,Figma,Machine Learning,Intermediate,Design,3,request
U15,SQL,UI/UX Design,Intermediate,Database,3,completed
U630,SQL,React,Advanced,Database,5,view
U464,Spring Boot,Python,Advanced,Programming,3,request
U737,Python,React,Advanced,Programming,4,completed
U897,Figma,Spring Boot,Beginner,Design,4,view
U693,Java,Machine Learning,Intermediate,Programming,4,completed
U86,JavaScript,Deep Learning,Intermediate,Programming,4,completed
U885,Deep Learning,Node.js,Intermediate,AI,4,completed
U483,Java,React,Intermediate,Programming,5,completed
U802,Data Analysis,Python,Beginner,Analytics,4,completed
U487,Machine Learning,JavaScript,Advanced,AI,4,request
U706,Python,Excel,Intermediate,Programming,3,completed
